"","IncomeRange","OccGroup","N","BorrowerAPR","sd","se","ci"
"249","$75-100k","Skilled Labor",276,0.208673260869565,0.073056290040071,0.00439747189987766,0.00865698574336788
"250","$75-100k","Social Worker",55,0.220319090909091,0.0797810898013996,0.0107576799542542,0.0215678497292402
"252","$75-100k","Teacher",454,0.209081784140969,0.0757559455444309,0.00355540269079047,0.00698712916364584
"254","$75-100k","Tradesman",296,0.209665743243243,0.0712759730414467,0.00414283178261815,0.00815325085177214
"255","$75-100k","Truck Driver",209,0.21825014354067,0.0683579273895759,0.00472841670952765,0.00932176458108905
"256","$75-100k","Waiter/Waitress",10,0.2275,0.070001681567104,0.0221364753793873,0.0500761863385872
"257","$100k+","None provided",39,0.187630256410256,0.0664114945459539,0.0106343500130802,0.0215281161034767
"258","$100k+","Accountant",659,0.194152852807284,0.0774701336886262,0.00301780794882382,0.00592569462102496
"259","$100k+","Admin Assistant",60,0.2280095,0.0837683234379808,0.0108144440538339,0.0216396525683157
"260","$100k+","Analyst",603,0.189724709784411,0.0769111867732568,0.0031320656509576,0.00615110267732632
"261","$100k+","Architect",41,0.199070975609756,0.0740955230363103,0.0115717765716845,0.0233874328511541
"262","$100k+","Attorney",616,0.183515746753247,0.0725503279251243,0.00292313601448185,0.00574053871967296
"263","$100k+","Biologist",15,0.171183333333333,0.0749665088715018,0.0193562693588425,0.0415150688485966
"265","$100k+","Car Dealer",40,0.2031535,0.0721391157292985,0.0114061957047531,0.0230712084841664
"266","$100k+","Chemist",17,0.171268823529412,0.0949391989566449,0.0230261379593986,0.0488132318807289
"267","$100k+","Civil Service",249,0.210883012048193,0.0758770629426992,0.00480851348453607,0.00947073108927502
"268","$100k+","Clergy",12,0.212819166666667,0.0869916591046974,0.0251123289006746,0.0552718632457252
"269","$100k+","Clerical",15,0.246128666666667,0.084202063841916,0.0217408793984023,0.0466295487173197
"270","$100k+","Computer Programmer",1282,0.183109656786271,0.0777268288650003,0.00217083560936999,0.00425878349625507
"271","$100k+","Construction",261,0.203160536398467,0.0768381811372471,0.00475616401039689,0.00936550525377437
"272","$100k+","Dentist",40,0.1922915,0.0770481487006997,0.0121823819696777,0.0246411933944866
"273","$100k+","Doctor",332,0.179971777108434,0.0715600749133604,0.00392736933383591,0.0077257512896385
"274","$100k+","Engineer",783,0.190144137931034,0.0774658925491153,0.00276840514747681,0.00543438539589702
"275","$100k+","Executive",2387,0.192285245077503,0.0754899761322708,0.00154512307568008,0.00302992257896858
